assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
2,1,30,0,23.3,445,0.12,0.3,0.18,0.37,8,1,0,7.8,30.6,2022-08-06,86,17,0,0,0,0,1,0,53050,1,1,4,24.0,9,0,0,0,5.0,True,0,0,3,0.1667460054159164,89,Tottenham,Southampton,4,1,18207,2022,539486,0.2146279960870742,1,2,0,0.1667460054159164,0.9257460236549376,0.5443729758262634,Tottenham,2,4,1,2.8,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.7,0.189,0.111
0,0,10,0,1.3,445,0.01,0.01,0.0,1.48,15,2,0,1.9,15.8,2022-08-14,81,6,0,0,0,0,2,0,201888,1,2,2,2.0,1,62975,79883,16908,5.0,False,0,0,0,0.0,85,Chelsea,Tottenham,2,2,18220,2022,541425,0.0,0,0,0,0.0,0.564300000667572,0.564300000667572,Tottenham,3,4,2,5.0,DEF,0.0,0.12,0.3,0.18,0.37,1.0,0.0,7.8,30.6,23.3,24.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,0.0,3.0,0.17,0.21,1.0,2.0,0.0,0.17,0.93,0.54,2.8,53050.0,0.0,0.12,0.3,0.18,0.37,1.0,0.0,7.8,30.6,23.3,24.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,0.0,3.0,0.17,0.21,1.0,2.0,0.0,0.17,0.93,0.54,2.8,53050.0,148838.0,0.6506286741535887,1.0,0.419,0.286,0.295
0,0,29,1,7.6,445,0.04,0.15,0.11,0.71,29,0,0,4.3,13.2,2022-08-20,90,20,0,0,0,0,3,0,285445,1,0,1,22.0,6,63080,108009,44929,5.0,True,0,0,1,0.1215820014476776,90,Tottenham,Wolverhampton Wanderers,1,0,18222,2022,542125,0.0,0,0,0,0.1215820014476776,0.556302011013031,0.4347200095653534,Tottenham,2,4,3,5.8,DEF,0.0,0.13,0.31,0.18,1.85,3.0,0.0,9.7,46.4,24.6,26.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,10.0,0.0,3.0,0.17,0.21,1.0,2.0,0.0,0.17,1.49,1.11,7.8,254938.0,0.0,0.13,0.31,0.18,1.85,3.0,0.0,9.7,46.4,24.6,26.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,10.0,0.0,3.0,0.17,0.21,1.0,2.0,0.0,0.17,1.49,1.11,7.8,254938.0,83557.0,0.4124547202134198,6.0,0.684,0.205,0.111
0,0,25,1,2.5,445,0.01,0.01,0.0,0.95,38,0,0,1.7,10.6,2022-08-28,90,16,0,0,0,0,4,0,399138,1,2,0,4.0,6,88421,131609,43188,5.0,False,0,0,0,0.0,90,Nottingham Forest,Tottenham,0,2,18241,2022,545406,0.0,0,0,0,0.0,0.0340321995317935,0.0340321995317935,Tottenham,3,2,4,6.5,DEF,1.0,0.17,0.46,0.29,2.56,3.0,0.0,14.0,59.6,32.2,48.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,16.0,0.0,4.0,0.29,0.21,1.0,2.0,0.0,0.29,2.05,1.54,13.6,540383.0,1.0,0.17,0.46,0.29,2.56,3.0,0.0,14.0,59.6,32.2,48.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,16.0,0.0,4.0,0.29,0.21,1.0,2.0,0.0,0.29,2.05,1.54,13.6,540383.0,113693.0,0.5058496427284221,6.0,0.134,0.213,0.652
0,0,13,0,1.8,445,0.01,0.07,0.06,1.24,47,1,0,3.0,15.0,2022-08-31,90,19,0,0,0,0,5,0,456143,1,1,1,13.0,2,48119,83574,35455,5.0,False,0,0,2,0.0459074005484581,90,West Ham,Tottenham,1,1,18249,2022,546424,0.0,0,0,0,0.0459074005484581,0.299219012260437,0.284289002418518,Tottenham,3,3,5,5.3,DEF,2.0,0.06,0.17,0.11,3.14,2.0,0.0,7.9,39.6,11.4,28.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,13.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.12,1.15,1.03,17.3,886471.0,2.0,0.18,0.47,0.29,3.51,3.0,0.0,15.7,70.2,34.7,52.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,22.0,0.0,4.0,0.29,0.21,1.0,2.0,0.0,0.29,2.08,1.58,20.1,939521.0,57005.0,0.4042628267060968,2.0,0.255,0.262,0.483
0,0,16,0,14.8,445,0.09,0.09,0.0,0.73,59,1,0,4.1,24.2,2022-09-03,90,9,0,0,0,0,6,0,533505,1,1,2,2.0,2,56574,101529,44955,5.1,True,0,0,0,0.0,90,Tottenham,Fulham,2,1,18255,2022,547158,0.0,0,0,0,0.0,0.3059810101985931,0.3059810101985931,Tottenham,2,4,6,4.4,DEF,2.0,0.06,0.23,0.17,2.9,1.0,0.0,9.0,38.8,11.9,39.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,14.0,0.0,3.0,0.17,0.0,0.0,0.0,0.0,0.17,0.89,0.75,17.6,1140726.0,2.0,0.19,0.54,0.35,4.75,4.0,0.0,18.7,85.2,36.5,65.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,24.0,0.0,6.0,0.33,0.21,1.0,2.0,0.0,0.33,2.38,1.86,25.4,1395664.0,77362.0,0.3862128287048414,2.0,0.639,0.217,0.144
0,0,2,0,1.7,445,0.01,0.01,0.0,0.32,79,0,0,0.4,2.0,2022-09-17,35,10,0,0,0,0,8,0,648338,0,2,6,0.0,1,75001,102157,27156,5.1,True,0,0,0,0.0,33,Tottenham,Leicester,6,2,18278,2022,550899,0.0,0,0,0,0.0,0.0891894996166229,0.0891894996166229,Tottenham,3,4,8,3.3,DEF,0.0,0.1,0.16,0.06,1.97,2.0,0.0,7.1,39.2,16.6,15.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.05,0.61,0.59,9.7,989648.0,2.0,0.15,0.32,0.17,3.63,2.0,0.0,13.1,63.0,26.7,41.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,16.0,0.0,3.0,0.17,0.0,0.0,0.0,0.0,0.17,1.2,1.06,22.0,1674231.0,114833.0,0.5799958240857455,1.0,0.644,0.21,0.146
0,0,-2,0,2.8,445,0.02,0.02,0.0,2.75,81,3,0,0.7,0.2,2022-10-01,61,1,0,0,0,1,9,0,532938,1,1,3,4.0,-2,-60732,14568,75300,5.1,False,0,0,0,0.0,64,Arsenal,Tottenham,3,1,18282,2022,552009,0.0,0,0,0,0.0,0.0827461034059524,0.0827461034059524,Tottenham,3,4,9,-0.5,DEF,0.0,0.1,0.1,0.0,1.05,1.0,0.0,4.5,26.2,16.5,2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,7.7,1181843.0,1.0,0.12,0.18,0.06,3.24,2.0,0.0,9.2,51.8,20.8,19.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,11.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.05,0.73,0.71,19.5,2037124.0,-115400.0,-0.6757911603685405,-2.0,0.461,0.27,0.27
0,0,12,0,24.0,445,0.19,0.19,0.0,1.21,128,2,0,4.6,13.8,2022-10-23,90,15,0,0,0,0,13,0,233675,1,2,1,8.0,0,-7983,2144,10127,4.9,True,1,0,0,0.0,90,Tottenham,Newcastle United,1,2,18329,2022,559155,0.0381661988794803,0,2,0,0.0,0.2236070036888122,0.1854410022497177,Tottenham,3,4,13,0.1,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,3.07,3.0,0.0,1.1,2.2,4.5,4.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,2.8,1181276.0,-299263.0,-0.6505582267133893,0.0,0.461,0.27,0.27
0,0,12,0,15.7,445,0.06,0.11,0.05,0.51,132,2,0,3.3,7.4,2022-10-29,62,3,0,0,0,0,14,0,231809,1,3,2,10.0,1,-2763,6863,9626,4.9,False,0,0,1,0.054296601563692,65,Bournemouth,Tottenham,2,3,18333,2022,560150,0.0560780987143516,0,1,0,0.054296601563692,0.1239150017499923,0.0696185976266861,Tottenham,3,2,14,0.8,DEF,0.0,0.19,0.19,0.0,1.21,2.0,0.0,4.6,13.8,24.0,8.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.04,0.0,2.0,0.0,0.0,0.22,0.19,0.1,233675.0,0.0,0.21,0.21,0.0,3.96,5.0,0.0,5.3,14.0,26.8,12.0,151.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,-2.0,0.0,0.0,0.0,0.04,0.0,2.0,0.0,0.0,0.31,0.27,-0.4,766613.0,-1866.0,-0.1675662562920735,1.0,0.188,0.248,0.564
