assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,9,0,0.5,83,0.02,0.02,0.0,0.84,3,1,0,1.7,16.2,2023-08-12,59,19,0,0,0,0,1,0,13935,1,1,1,0.0,1,0,0,0,4.5,True,0,0,0,0.0,61,Bournemouth,West Ham,1,1,22277,2023,603728,0.0,0,0,0,0.0,0.2469067871570587,0.2469067871570587,Bournemouth,2,2,1,2.0,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.338,0.277,0.385
0,0,18,0,10.6,83,0.06,0.06,0.0,3.08,14,3,0,3.6,25.2,2023-08-19,83,11,0,0,0,0,2,0,13514,1,1,3,0.0,1,-2409,492,2901,4.5,False,0,0,0,0.0,88,Liverpool,Bournemouth,3,1,22288,2023,605135,0.0234627667814493,0,1,0,0.0,0.3218301236629486,0.2983673512935638,Bournemouth,2,5,2,0.5,DEF,0.0,0.02,0.02,0.0,0.84,1.0,0.0,1.7,16.2,0.5,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-421.0,-0.7099911582670203,1.0,0.762,0.149,0.089
1,0,19,0,14.3,83,0.17,0.17,0.0,3.29,32,2,0,4.1,26.6,2023-09-02,90,4,0,0,0,0,4,0,13644,1,2,2,0.0,4,-1143,562,1705,4.4,False,0,0,0,0.0,90,Brentford,Bournemouth,2,2,21928,2023,608662,0.1068312898278236,1,1,0,0.0,0.246446892619133,0.1396156102418899,Bournemouth,2,2,4,1.5,DEF,0.0,0.06,0.06,0.0,3.08,3.0,0.0,3.6,25.2,10.6,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.32,0.3,0.5,0.0,0.04,0.04,0.0,1.96,2.0,0.0,2.65,20.7,5.55,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.0,0.0,0.28,0.27,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,-0.5041905602117336,4.0,0.575,0.238,0.188
0,0,4,0,0.0,83,0.0,0.0,0.0,0.5,42,0,0,1.0,10.0,2023-09-17,16,7,0,0,0,0,5,0,15348,0,0,0,0.0,1,779,2223,1444,4.4,True,0,0,0,0.0,15,Bournemouth,Chelsea,0,0,21942,2023,610969,0.0,0,0,0,0.0,0.1582748293876648,0.1582748293876648,Bournemouth,3,2,5,1.7,DEF,0.0,0.17,0.17,0.0,3.29,2.0,0.0,4.1,26.6,14.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.11,1.0,1.0,1.0,0.0,0.0,0.25,0.14,1.5,0.0,0.12,0.12,0.0,3.18,2.5,0.0,3.85,25.9,12.45,0.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,2.5,0.0,0.0,0.0,0.07,0.5,0.5,1.0,0.0,0.0,0.28,0.22,1.0,0.0,0.08,0.08,0.0,2.4,2.0,0.0,3.13,22.67,8.47,0.0,77.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.0,2.0,0.0,0.0,0.0,0.04,0.33,0.33,0.67,0.0,0.0,0.27,0.23,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.0,0.2124352331606217,1.0,0.222,0.24,0.538
0,0,-2,0,0.1,83,0.01,0.01,0.0,0.12,53,0,0,1.0,9.4,2023-09-24,7,5,0,0,0,0,6,0,14872,0,1,3,0.0,0,-526,502,1028,4.4,False,1,0,0,0.0,4,Brighton,Bournemouth,3,1,21951,2023,612729,0.0,0,0,0,0.0,0.0769150108098983,0.0769150108098983,Bournemouth,2,3,6,1.2,DEF,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,10.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,1.7,0.0,0.08,0.08,0.0,1.9,1.0,0.0,2.55,18.3,7.15,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,2.5,0.0,0.0,0.0,0.05,0.5,0.5,0.5,0.0,0.0,0.2,0.15,1.6,0.0,0.08,0.08,0.0,2.29,1.67,0.0,2.9,20.6,8.3,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.67,2.0,0.0,0.0,0.0,0.04,0.33,0.33,0.67,0.0,0.0,0.24,0.2,1.23,0.0,0.06,0.06,0.0,1.93,1.5,0.0,2.6,19.5,6.35,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.5,1.75,0.0,0.0,0.0,0.03,0.25,0.25,0.5,0.0,0.0,0.24,0.21,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-476.0,-0.3437908496732026,0.0,0.693,0.179,0.128
0,0,11,0,2.5,83,0.03,0.03,0.0,3.47,62,4,0,2.3,20.0,2023-09-30,90,1,0,0,0,0,7,0,14314,1,4,0,0.0,0,-606,491,1097,4.4,True,0,0,0,0.0,90,Bournemouth,Arsenal,0,4,21959,2023,614690,0.0,0,0,0,0.0,0.2647269070148468,0.2647269070148468,Bournemouth,5,2,7,-0.2,DEF,0.0,0.01,0.01,0.0,0.12,0.0,0.0,1.0,9.4,0.1,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,1.2,0.0,0.0,0.0,0.0,0.31,0.0,0.0,1.0,9.7,0.05,0.0,11.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,1.45,0.0,0.06,0.06,0.0,1.3,0.67,0.0,2.03,15.33,4.8,0.0,37.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,1.67,1.67,0.0,0.0,0.0,0.04,0.33,0.33,0.33,0.0,0.0,0.16,0.12,1.47,0.0,0.06,0.06,0.0,1.75,1.25,0.0,2.42,17.8,6.25,0.0,49.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.0,2.0,1.5,0.0,0.0,0.0,0.03,0.25,0.25,0.5,0.0,0.0,0.2,0.17,1.23,0.0,0.05,0.05,0.0,1.57,1.2,0.0,2.28,17.48,5.1,0.0,51.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.0,1.8,1.4,0.0,0.0,0.0,0.03,0.2,0.2,0.4,0.0,0.0,0.21,0.18,1.38,-558.0,-0.3816120906801007,0.0,0.162,0.209,0.628
0,0,11,0,1.2,83,0.03,0.03,0.0,2.71,75,3,0,2.5,21.6,2023-10-07,90,9,0,0,0,0,8,0,14572,1,0,3,2.0,1,77,1126,1049,4.4,False,0,0,0,0.0,90,Everton,Bournemouth,3,0,21969,2023,616416,0.0,0,0,0,0.0,0.0,0.0,Bournemouth,2,2,8,0.3,DEF,0.0,0.03,0.03,0.0,3.47,4.0,0.0,2.3,20.0,2.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,-0.2,0.0,0.02,0.02,0.0,1.8,2.0,0.0,1.65,14.7,1.3,0.0,48.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.5,0.0,0.01,0.01,0.0,1.36,1.33,0.0,1.43,13.13,0.87,0.0,37.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.67,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.9,0.0,0.05,0.05,0.0,1.85,1.5,0.0,2.1,16.5,4.23,0.0,50.75,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.75,1.25,1.25,0.0,0.0,0.0,0.03,0.25,0.25,0.25,0.0,0.0,0.19,0.16,1.05,0.0,0.05,0.05,0.0,2.09,1.8,0.0,2.4,18.24,5.5,0.0,57.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.6,1.6,1.2,0.0,0.0,0.0,0.03,0.2,0.2,0.4,0.0,0.0,0.21,0.19,0.94,258.0,0.0354022988505747,1.0,0.492,0.254,0.254
0,0,2,0,0.1,83,0.0,0.0,0.0,0.52,82,1,0,0.0,0.0,2023-10-21,5,20,0,0,0,0,9,0,14820,0,2,1,0.0,1,114,1079,965,4.4,True,0,0,0,0.0,1,Bournemouth,Wolverhampton Wanderers,1,2,21975,2023,618041,0.0,0,0,0,0.0,0.0,0.0,Bournemouth,2,2,9,0.7,DEF,0.0,0.03,0.03,0.0,2.71,3.0,0.0,2.5,21.6,1.2,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.03,0.03,0.0,3.09,3.5,0.0,2.4,20.8,1.85,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.05,0.0,0.02,0.02,0.0,2.1,2.33,0.0,1.93,17.0,1.27,0.67,62.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.67,2.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.43,0.0,0.02,0.02,0.0,1.7,1.75,0.0,1.7,15.25,0.95,0.5,50.75,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.25,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.75,0.0,0.05,0.05,0.0,2.02,1.8,0.0,2.18,17.52,3.62,0.4,58.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.4,1.6,1.2,0.0,0.0,0.0,0.02,0.2,0.2,0.2,0.0,0.0,0.15,0.13,0.9,248.0,0.0557729941291585,1.0,0.395,0.269,0.336
0,0,7,0,3.9,83,0.02,0.02,0.0,1.01,106,3,0,1.0,6.2,2023-11-04,45,13,0,0,0,0,11,0,13261,0,1,6,0.0,0,-824,147,971,4.3,False,0,0,0,0.0,40,Manchester City,Bournemouth,6,1,22000,2023,621516,0.0,0,0,0,0.0,0.0969649702310562,0.0969649702310562,Bournemouth,2,5,11,-0.7,DEF,0.0,0.0,0.0,0.0,0.52,1.0,0.0,0.0,0.0,0.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.02,0.02,0.0,1.62,2.0,0.0,1.25,10.8,0.65,1.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.02,0.02,0.0,2.23,2.67,0.0,1.6,13.87,1.27,0.67,61.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,1.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.27,0.0,0.02,0.02,0.0,1.7,2.0,0.0,1.45,12.75,0.98,0.5,48.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.75,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.5,0.0,0.01,0.01,0.0,1.46,1.6,0.0,1.36,12.2,0.78,0.4,41.6,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.4,1.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.74,-1559.0,-0.7370304114490162,0.0,0.872,0.092,0.036
0,0,24,1,1.4,83,0.01,0.01,0.0,0.51,113,0,0,1.3,11.4,2023-11-11,90,15,0,0,0,0,12,0,12915,1,0,2,0.0,5,-399,115,514,4.3,True,1,0,0,0.0,90,Bournemouth,Newcastle United,2,0,22005,2023,623470,0.0,0,0,0,0.0,0.8139840364456177,0.8139840364456177,Bournemouth,3,2,12,1.2,DEF,0.0,0.02,0.02,0.0,1.01,3.0,0.0,1.0,6.2,3.9,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,-0.7,0.0,0.01,0.01,0.0,0.76,2.0,0.0,0.5,3.1,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.02,0.02,0.0,1.41,2.33,0.0,1.17,9.27,1.73,0.67,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,3.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.1,0.0,0.02,0.02,0.0,1.93,2.75,0.0,1.45,11.95,1.92,0.5,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.75,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.02,0.0,0.02,0.02,0.0,1.57,2.2,0.0,1.36,11.44,1.56,0.4,47.4,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.6,2.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.26,-346.0,-0.6343402225755167,5.0,0.206,0.232,0.562
