assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,6,0,0.4,41,0.0,0.27,0.27,1.64,6,2,0,4.7,9.4,2023-08-12,26,15,0,0,0,0,1,0,36482,0,1,5,37.0,0,0,0,0,4.5,False,0,0,1,0.030846819281578,15,Newcastle United,Aston Villa,5,1,22281,2023,603934,0.0,0,0,0,0.030846819281578,0.1202460452914238,0.1202460452914238,Aston Villa,3,4,1,1.5,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.541,0.253,0.206
0,0,8,0,0.2,41,0.0,0.0,0.0,0.03,11,0,0,1.5,15.2,2023-08-20,26,9,0,0,0,0,2,0,44605,0,0,4,0.0,1,-1562,4081,5643,4.5,True,0,0,0,0.0,17,Aston Villa,Everton,4,0,22292,2023,605751,0.0,0,0,0,0.0,0.0232784561812877,0.0232784561812877,Aston Villa,2,4,2,0.5,DEF,0.0,0.0,0.27,0.27,1.64,2.0,0.0,4.7,9.4,0.4,37.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.12,1.5,0.0,0.0,0.09,0.09,0.55,0.67,0.0,1.57,3.13,0.13,12.33,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,0.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.5,0.0,0.0,0.05,0.05,0.33,0.4,0.0,0.94,1.88,0.08,7.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.3,8123.0,-0.1606334841628959,1.0,0.555,0.236,0.21
0,0,10,0,0.7,41,0.01,0.11,0.1,0.73,25,1,0,2.3,14.4,2023-08-27,90,6,0,0,0,0,3,0,44528,1,3,1,8.0,2,-2464,2472,4936,4.5,False,0,0,1,0.1114026084542274,90,Burnley,Aston Villa,1,3,22302,2023,607454,0.0,0,0,0,0.1114026084542274,0.6730448603630066,0.6730448603630066,Aston Villa,3,2,3,1.5,DEF,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.5,15.2,0.2,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.5,0.0,0.0,0.09,0.09,0.56,0.67,0.0,2.07,8.2,0.2,12.33,17.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.0,0.33,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.67,0.0,0.0,0.05,0.05,0.33,0.4,0.0,1.24,4.92,0.12,7.4,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,0.2,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.4,-77.0,-0.3326133909287257,2.0,0.279,0.279,0.442
0,0,3,0,0.2,41,0.0,0.0,0.0,0.06,37,1,0,0.2,1.6,2023-09-03,18,11,0,0,0,0,4,0,44857,1,0,3,0.0,1,-1653,2268,3921,4.5,False,0,0,0,0.0,18,Liverpool,Aston Villa,3,0,21933,2023,609383,0.0,0,0,0,0.0,0.0,0.0,Aston Villa,3,5,4,0.5,DEF,0.0,0.01,0.11,0.1,0.73,1.0,0.0,2.3,14.4,0.7,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.67,0.67,1.5,0.0,0.0,0.13,0.12,0.8,1.0,0.0,2.83,13.0,0.43,15.0,47.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,3.33,1.0,0.0,0.67,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.27,0.27,1.17,0.0,0.0,0.08,0.07,0.48,0.6,0.0,1.7,7.8,0.26,9.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,2.0,0.6,0.0,0.4,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.16,0.7,329.0,-0.2670867668444013,1.0,0.577,0.212,0.212
0,0,13,0,10.8,41,0.01,0.01,0.0,1.19,80,1,0,2.2,11.2,2023-10-08,90,20,0,0,0,0,8,0,30087,1,1,1,0.0,2,559,1615,1056,4.4,False,0,0,0,0.0,90,Wolverhampton Wanderers,Aston Villa,1,1,21974,2023,616993,0.0124745545908808,0,1,0,0.0,0.263837993144989,0.263837993144989,Aston Villa,3,2,8,0.7,DEF,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.2,1.6,0.2,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.04,0.03,0.27,0.67,0.0,1.33,10.4,0.37,2.67,44.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,2.67,1.33,0.0,0.33,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.23,0.23,0.83,0.0,0.0,0.08,0.07,0.49,0.8,0.0,1.74,8.12,0.3,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,2.6,0.8,0.0,0.4,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.16,0.8,-14770.0,0.2092849120179708,2.0,0.271,0.279,0.451
0,0,3,0,0.1,41,0.0,0.0,0.0,0.37,92,1,0,0.2,2.0,2023-10-29,11,12,0,0,0,0,10,0,32681,0,1,3,0.0,1,723,2163,1440,4.4,True,0,0,0,0.0,10,Aston Villa,Luton,3,1,21987,2023,620453,0.0,0,0,0,0.0,0.0,0.0,Aston Villa,2,4,10,1.5,DEF,0.0,0.01,0.01,0.0,1.19,1.0,0.0,2.2,11.2,10.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.26,0.26,0.7,0.0,0.01,0.04,0.03,0.66,1.0,0.0,1.57,9.07,3.9,2.67,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,1.67,0.0,0.33,0.04,0.0,0.0,0.0,0.33,0.0,0.04,0.31,0.31,0.9,0.0,0.0,0.08,0.07,0.73,1.0,0.0,2.18,10.36,2.46,9.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,2.8,1.2,0.0,0.4,0.03,0.0,0.0,0.0,0.2,0.0,0.03,0.22,0.22,0.94,2594.0,0.2006661115736886,1.0,0.755,0.145,0.099
0,0,4,0,1.1,41,0.01,0.01,0.0,0.0,108,0,0,0.4,3.0,2023-11-05,12,16,0,0,0,0,11,0,33215,0,0,2,0.0,1,357,1616,1259,4.4,False,0,0,0,0.0,8,Nottingham Forest,Aston Villa,2,0,22002,2023,622096,0.0,0,0,0,0.0,0.0807696655392646,0.0807696655392646,Aston Villa,3,2,11,0.7,DEF,0.0,0.0,0.0,0.0,0.37,1.0,0.0,0.2,2.0,0.1,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.54,1.0,0.0,0.87,4.93,3.7,0.0,39.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,2.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.09,0.09,0.9,0.0,0.0,0.02,0.02,0.48,0.8,0.0,1.28,8.88,2.4,1.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,2.4,1.4,0.0,0.2,0.02,0.0,0.0,0.0,0.2,0.0,0.02,0.19,0.19,0.94,534.0,0.1241739130434782,1.0,0.228,0.255,0.517
0,0,14,0,0.3,41,0.0,0.11,0.11,2.32,130,1,0,1.9,14.8,2023-11-26,90,18,0,0,0,0,13,0,30416,1,2,1,4.0,2,-2044,98,2142,4.4,False,0,0,1,0.0999225601553917,90,Tottenham Hotspur,Aston Villa,1,2,22024,2023,625565,0.0,0,0,0,0.0999225601553917,0.0999225601553917,0.0,Aston Villa,3,4,13,0.8,DEF,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.4,3.0,1.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.7,0.0,0.01,0.01,0.0,0.52,0.67,0.0,0.93,5.4,4.0,0.0,37.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,2.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.11,0.11,0.97,0.0,0.01,0.03,0.02,0.47,0.8,0.0,1.06,6.44,2.58,1.6,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,2.0,1.4,0.0,0.2,0.02,0.0,0.0,0.0,0.2,0.0,0.02,0.2,0.2,0.98,-2799.0,-0.9125,2.0,0.412,0.249,0.338
0,0,13,0,0.7,41,0.01,0.01,0.0,2.02,132,2,0,2.3,21.8,2023-12-03,90,3,0,0,0,0,14,0,31479,1,2,2,0.0,1,735,1245,510,4.4,False,0,0,0,0.0,90,Bournemouth,Aston Villa,2,2,22025,2023,627161,0.0,0,0,0,0.0,0.5395159125328064,0.5395159125328064,Aston Villa,3,2,14,1.0,DEF,0.0,0.0,0.11,0.11,2.32,1.0,0.0,1.9,14.8,0.3,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.8,0.0,0.0,0.04,0.04,0.9,0.67,0.0,0.83,6.6,0.5,1.33,37.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,2.0,1.33,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,1.0,0.0,0.0,0.03,0.02,0.79,0.8,0.0,0.98,6.52,2.5,0.8,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,2.0,1.4,0.0,0.2,0.02,0.0,0.0,0.0,0.2,0.0,0.02,0.09,0.07,0.84,1063.0,0.4188034188034188,1.0,0.278,0.237,0.485
0,0,24,1,10.6,41,0.01,0.01,0.0,0.83,141,0,0,2.0,7.8,2023-12-06,90,13,0,0,0,0,15,0,31903,1,0,1,2.0,6,348,879,531,4.4,True,0,0,0,0.0,90,Aston Villa,Manchester City,1,0,22035,2023,628055,0.0218529608100652,0,1,0,0.0,0.2012729793787002,0.1794200241565704,Aston Villa,5,4,15,1.2,DEF,0.0,0.01,0.01,0.0,2.02,2.0,0.0,2.3,21.8,0.7,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,1.0,0.0,0.01,0.04,0.04,1.45,1.0,0.0,1.53,13.2,0.7,1.33,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.67,1.33,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.24,0.21,0.83,0.0,0.01,0.03,0.02,1.18,1.0,0.0,1.4,10.56,2.6,0.8,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.8,1.4,0.0,0.2,0.02,0.0,0.0,0.0,0.2,0.0,0.02,0.2,0.18,0.94,424.0,0.2468085106382978,6.0,0.203,0.23,0.567
