,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,2,Sub,Everton,Brentford,2,3,2022-05-15,16744,2021,536235,0.0,0,0,0,0.0,0.0,0.0
1,0,0,0.0,13,Sub,Leicester,Everton,1,2,2022-05-08,16729,2021,533449,0.0,0,0,0,0.0,0.0,0.0
2,0,0,0.0,8,Sub,Everton,Chelsea,1,0,2022-05-01,16724,2021,531055,0.0,0,0,0,0.0,0.1034226343035698,0.1034226343035698
3,0,1,0.0530414953827858,9,Sub,Liverpool,Everton,2,0,2022-04-24,16708,2021,529619,0.0,0,0,0,0.0530414953827858,0.0530414953827858,0.0
4,0,1,0.0948508009314537,23,Sub,Everton,Leicester,1,1,2022-04-20,16547,2021,527869,0.0909803882241249,1,1,0,0.0948508009314537,0.1369933187961578,0.0460129342973232
5,0,1,0.0801206231117248,1,Sub,Burnley,Everton,3,2,2022-04-06,16558,2021,524153,0.0,0,0,0,0.0801206231117248,0.0801206231117248,0.0
6,0,1,0.4102528691291809,2,Sub,Everton,Leeds,3,0,2022-02-12,16619,2021,512712,0.0,0,0,0,0.4102528691291809,0.4102528691291809,0.0
7,0,1,0.0594043396413326,55,FW,Norwich,Everton,2,1,2022-01-15,16592,2021,508132,0.0,0,0,0,0.0594043396413326,0.1064038425683975,0.0469995029270648
8,0,2,0.1098108887672424,11,Sub,Everton,Brighton,2,3,2022-01-02,16580,2021,505578,0.1197583973407745,0,1,0,0.1098108887672424,0.1919531822204589,0.0
9,1,1,0.6327471733093262,30,Sub,Crystal Palace,Everton,3,1,2021-12-12,16531,2021,502632,0.1727432459592819,0,2,1,0.6327471733093262,0.8054904341697693,0.0
10,0,0,0.0,62,FW,Everton,Liverpool,1,4,2021-12-01,16507,2021,499356,0.0,0,0,0,0.0,0.0,0.0
11,0,5,0.5391843318939209,90,FW,Brentford,Everton,1,0,2021-11-28,16497,2021,497950,0.0222189556807279,0,1,0,0.5391843318939209,0.5859256386756897,0.024522328749299
12,0,0,0.0,24,Sub,Manchester City,Everton,3,0,2021-11-21,16490,2021,496381,0.0,0,0,0,0.0,0.0993384346365928,0.0993384346365928
13,0,0,0.0,1,Sub,Wolverhampton Wanderers,Everton,2,1,2021-11-01,16475,2021,493507,0.0,0,0,0,0.0,0.0,0.0
14,0,1,0.0146132381632924,90,FW,Everton,Watford,2,5,2021-10-23,16461,2021,489975,0.0,0,0,0,0.0146132381632924,0.0521949306130409,0.0375816896557807
15,0,3,0.2640523314476013,90,FW,Everton,West Ham,0,1,2021-10-17,16449,2021,488643,0.0,0,0,0,0.2640523314476013,0.3845761716365814,0.1205238103866577
16,0,2,0.2081751674413681,90,FW,Manchester United,Everton,1,1,2021-10-02,16442,2021,486214,0.1104020327329635,0,1,0,0.2081751674413681,0.4090360999107361,0.0904589146375656
17,0,0,0.0,90,FW,Everton,Norwich,2,0,2021-09-25,16428,2021,484709,0.0962925180792808,0,2,0,0.0,0.1624866276979446,0.0661941096186637
18,0,2,0.1741688400506973,65,FW,Aston Villa,Everton,3,0,2021-09-18,16422,2021,482382,0.0,0,0,0,0.1741688400506973,0.1341772377490997,0.0
