assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,3,0,0.3,624,0.0,0.0,0.0,0.16,5,0,0,0.3,1.0,2023-08-12,7,10,0,0,0,0,1,0,1486,0,1,0,2.0,1,0,0,0,4.5,True,0,0,0,0.0,6,Everton,Fulham,0,1,22279,2023,603800,0.0,0,0,0,0.0,0.0949303284287452,0.0949303284287452,Everton,2,2,1,1.0,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,6,0,10.9,624,0.0,0.0,0.0,0.99,11,2,0,2.0,7.0,2023-08-20,45,2,0,0,0,0,2,0,3067,0,0,4,2.0,1,285,571,286,4.5,False,0,0,0,0.0,35,Aston Villa,Everton,4,0,22292,2023,605768,0.0162472482770681,0,1,0,0.0,0.0162472482770681,0.0,Everton,2,4,2,1.0,MID,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.3,1.0,0.3,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581.0,0.33255542590431736
0,0,3,1,1.8,624,0.0,0.07,0.07,0.58,27,0,0,2.8,5.2,2023-08-26,65,20,0,0,0,0,3,0,3422,1,1,0,21.0,3,51,473,422,4.5,True,0,0,1,0.3365820944309234,68,Everton,Wolverhampton Wanderers,0,1,22299,2023,606871,0.0,0,0,0,0.3365820944309234,0.0,0.0,Everton,2,2,3,1.7,MID,0.0,0.0,0.0,0.0,0.99,2.0,0.0,2.0,7.0,10.9,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.57,1.0,0.0,1.15,4.0,5.6,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.0,0.0,0.06,0.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,0.05698324022346369
0,0,1,0,0.0,624,0.0,0.09,0.09,0.0,123,0,0,0.0,0.0,2023-11-26,1,14,0,0,0,0,13,0,6516,0,3,0,1.0,1,-201,136,337,4.5,True,0,0,1,0.0371526852250099,1,Everton,Manchester United,0,3,22017,2023,625804,0.0,0,0,0,0.0371526852250099,0.0371526852250099,0.0,Everton,3,2,13,-0.2,MID,1.0,0.0,0.07,0.07,0.58,0.0,0.0,2.8,5.2,1.8,21.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1.7,0.5,0.0,0.04,0.04,0.78,1.0,0.0,2.4,6.1,6.35,11.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0,0.0,0.5,0.17,0.01,0.0,0.0,0.5,0.0,0.17,0.01,0.0,1.35,0.33,0.0,0.02,0.02,0.58,0.67,0.0,1.7,4.4,4.33,8.33,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.33,1.67,0.0,0.33,0.11,0.01,0.0,0.0,0.33,0.0,0.11,0.04,0.03,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3094.0,-0.4249471458773784
0,0,21,0,0.0,624,0.0,0.08,0.08,0.01,154,0,1,5.5,38.2,2023-12-10,4,7,0,0,0,0,16,0,6271,0,0,2,17.0,6,-149,67,216,4.5,True,0,1,1,0.027749003842473,1,Everton,Chelsea,2,0,22048,2023,629275,0.0,0,0,1,0.027749003842473,0.0,0.0,Everton,3,2,16,1.4,MID,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,-0.2,0.5,0.0,0.08,0.08,0.29,0.0,0.0,1.4,2.6,0.9,11.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,2.0,0.0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.19,0.02,0.0,0.75,0.33,0.0,0.05,0.05,0.52,0.67,0.0,1.6,4.07,4.23,8.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,1.33,1.67,0.0,0.67,0.12,0.01,0.0,0.0,0.33,0.0,0.12,0.02,0.0,0.83,0.25,0.0,0.04,0.04,0.43,0.5,0.0,1.27,3.3,3.25,6.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,1.0,1.5,0.0,0.5,0.09,0.0,0.0,0.0,0.25,0.0,0.09,0.04,0.02,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-245.0,-0.5265017667844523
0,0,3,0,0.5,624,0.01,0.01,0.0,0.29,164,0,0,0.5,4.2,2023-12-16,45,6,0,0,0,0,17,0,6824,0,2,0,0.0,1,426,702,276,4.5,False,0,0,0,0.0,40,Burnley,Everton,0,2,22058,2023,630507,0.0,0,0,0,0.0,0.0,0.0,Everton,2,2,17,2.1,MID,0.0,0.0,0.08,0.08,0.01,0.0,1.0,5.5,38.2,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,0.03,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,1.4,0.0,0.0,0.08,0.08,0.0,0.0,0.5,2.75,19.1,0.0,9.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,3.5,0.5,1.0,0.03,0.0,0.0,0.0,0.0,0.5,0.03,0.02,0.0,0.6,0.33,0.0,0.08,0.08,0.2,0.0,0.33,2.77,14.47,0.6,13.0,23.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,0.67,3.33,0.33,1.0,0.13,0.0,0.0,0.0,0.0,0.33,0.13,0.01,0.0,0.97,0.25,0.0,0.06,0.06,0.4,0.5,0.25,2.58,12.6,3.18,10.25,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.5,2.75,0.25,0.75,0.1,0.0,0.0,0.0,0.25,0.25,0.1,0.01,0.0,0.98,0.2,0.0,0.05,0.05,0.35,0.4,0.2,2.12,10.28,2.6,8.6,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.2,2.4,0.2,0.6,0.08,0.0,0.0,0.0,0.2,0.2,0.08,0.03,0.02,0.98,553.0,0.43558282208588955
0,0,2,0,0.0,624,0.0,0.05,0.05,0.13,213,0,0,0.7,0.0,2024-01-30,1,10,0,0,0,0,22,0,5815,0,0,0,7.0,1,-192,43,235,4.5,False,0,0,1,0.0526968017220497,1,Fulham,Everton,0,0,22106,2023,637802,0.0,0,0,0,0.0526968017220497,0.0,0.0,Everton,2,3,22,0.5,MID,0.0,0.01,0.01,0.0,0.29,0.0,0.0,0.5,4.2,0.5,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.04,0.04,0.15,0.0,0.5,3.0,21.2,0.25,8.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,0.5,0.5,0.01,0.0,0.0,0.0,0.0,0.5,0.01,0.0,0.0,1.75,0.0,0.0,0.06,0.06,0.1,0.0,0.33,2.0,14.13,0.17,6.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.67,2.67,0.33,0.67,0.02,0.0,0.0,0.0,0.0,0.33,0.02,0.01,0.0,1.1,0.25,0.0,0.06,0.06,0.22,0.0,0.25,2.2,11.9,0.57,9.75,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.5,2.75,0.25,0.75,0.1,0.0,0.0,0.0,0.0,0.25,0.1,0.01,0.0,1.25,0.2,0.0,0.05,0.05,0.37,0.4,0.2,2.16,10.92,2.64,8.2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.2,2.4,0.2,0.6,0.08,0.0,0.0,0.0,0.2,0.2,0.08,0.01,0.0,1.2,-1009.0,-0.6906474820143885
0,0,7,0,14.5,624,0.08,0.08,0.0,0.0,227,0,0,2.0,5.2,2024-02-03,5,18,0,0,0,0,23,0,5766,0,2,2,0.0,0,-67,27,94,4.5,True,1,0,0,0.0,1,Everton,Tottenham,2,2,22121,2023,638278,0.3496048748493194,0,1,0,0.0,0.3496048748493194,0.0,Everton,3,2,23,0.3,MID,0.0,0.0,0.05,0.05,0.13,0.0,0.0,0.7,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.03,0.02,0.21,0.0,0.0,0.6,2.1,0.25,3.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.3,0.0,0.0,0.05,0.04,0.14,0.0,0.33,2.23,14.13,0.17,8.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,2.67,0.33,0.67,0.03,0.0,0.0,0.0,0.0,0.33,0.03,0.0,0.0,1.33,0.0,0.0,0.06,0.06,0.11,0.0,0.25,1.68,10.6,0.12,6.25,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.5,2.25,0.25,0.75,0.03,0.0,0.0,0.0,0.0,0.25,0.03,0.01,0.0,0.95,0.2,0.0,0.06,0.06,0.2,0.0,0.2,1.9,9.52,0.46,9.2,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.4,2.4,0.2,0.8,0.09,0.0,0.0,0.0,0.0,0.2,0.09,0.01,0.0,1.1,-49.0,-0.5537190082644629
0,0,2,0,0.1,624,0.0,0.0,0.0,0.32,236,0,0,0.0,0.0,2024-02-10,2,13,0,0,0,0,24,0,5733,0,0,2,0.0,1,-59,85,144,4.5,False,0,0,0,0.0,1,Manchester City,Everton,2,0,22130,2023,639902,0.0,0,0,0,0.0,0.0,0.0,Everton,2,5,24,-0.3,MID,0.0,0.08,0.08,0.0,0.0,0.0,0.0,2.0,5.2,14.5,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.0,0.35,0.0,0.3,0.0,0.04,0.06,0.02,0.06,0.0,0.0,1.35,2.6,7.25,3.5,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.03,0.17,0.0,0.0,0.5,0.0,0.03,0.17,0.0,0.4,0.0,0.03,0.05,0.02,0.14,0.0,0.0,1.07,3.13,5.0,2.33,17.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.33,0.67,0.67,0.0,0.33,0.02,0.12,0.0,0.0,0.33,0.0,0.02,0.12,0.0,0.97,0.0,0.02,0.06,0.03,0.11,0.0,0.25,2.17,11.9,3.75,6.0,13.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,2.0,0.25,0.5,0.02,0.09,0.0,0.0,0.25,0.25,0.02,0.09,0.0,1.08,0.0,0.02,0.06,0.04,0.09,0.0,0.2,1.74,9.52,3.0,5.0,11.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.4,0.8,1.8,0.2,0.6,0.02,0.07,0.0,0.0,0.2,0.2,0.02,0.08,0.0,0.82,-33.0,-0.2576419213973799
0,0,3,0,0.3,624,0.0,0.0,0.0,0.6,263,1,0,0.0,0.0,2024-03-02,1,19,0,0,0,0,27,0,5434,0,3,1,0.0,1,-183,8,191,4.5,True,0,0,0,0.0,1,Everton,West Ham,1,3,22157,2023,644850,0.0,0,0,0,0.0,0.0405916310846805,0.0405916310846805,Everton,2,2,27,0.2,MID,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.04,0.04,0.0,0.16,0.0,0.0,1.0,2.6,7.3,0.0,3.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.17,0.0,0.0,0.5,0.0,0.0,0.17,0.0,0.0,0.0,0.03,0.04,0.02,0.15,0.0,0.0,0.9,1.73,4.87,2.33,2.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67,1.33,0.67,0.0,0.33,0.02,0.12,0.0,0.0,0.33,0.0,0.02,0.12,0.0,0.17,0.0,0.02,0.04,0.01,0.18,0.0,0.0,0.8,2.35,3.78,1.75,13.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.75,0.0,0.25,0.01,0.09,0.0,0.0,0.25,0.0,0.01,0.09,0.0,0.65,0.0,0.02,0.04,0.03,0.15,0.0,0.2,1.74,9.52,3.02,4.8,11.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,1.2,1.8,0.2,0.4,0.02,0.07,0.0,0.0,0.2,0.2,0.02,0.07,0.0,0.8,-299.0,-0.9195979899497487
