assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,3,0,0.0,209,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31,1,17,0,0,0,0,18,0,12939,0,1,2,0.0,1,-434,100,534,4.5,True,0,0,0,0.0,1,Fulham,Southampton,2,1,18374,2022,566423,0.0,0,0,0,0.0,0.0,0.0,Fulham,2,2,18,0.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5968.0,-0.6845425867507886
0,1,27,1,0.6,209,0.0,0.02,0.02,1.69,188,0,0,3.0,22.2,2023-01-03,90,10,0,0,0,0,19,0,12970,1,1,0,7.0,6,-82,242,324,4.5,False,1,0,1,0.0138686997815966,90,Leicester,Fulham,0,1,18389,2022,567006,0.0,0,0,0,0.0138686997815966,0.2011889964342117,0.1873210072517395,Fulham,2,3,19,3.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12939.0,31.0,-0.14487632508833923
0,0,11,0,1.4,209,0.01,0.01,0.0,2.13,64,1,0,2.4,22.4,2023-01-12,90,6,0,0,0,0,19,0,12970,1,1,2,0.0,1,-82,242,324,4.5,True,1,0,0,0.0,90,Fulham,Chelsea,2,1,18262,2022,568530,0.0,0,0,0,0.0,0.4160819947719574,0.4160819947719574,Fulham,3,2,19,3.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12939.0,0.0,-0.14487632508833923
0,0,3,0,0.0,209,0.0,0.0,0.0,0.95,197,1,0,0.0,0.0,2023-01-15,13,15,0,0,0,0,20,0,12951,0,0,1,0.0,1,-132,214,346,4.5,False,0,0,0,0.0,10,Newcastle United,Fulham,1,0,18398,2022,569315,0.0,0,0,0,0.0,0.0,0.0,Fulham,2,4,20,1.8,DEF,0.0,0.01,0.01,0.0,2.13,1.0,0.0,2.4,22.4,1.4,0.0,91.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,4.0,25909.0,0.0,0.01,0.01,0.0,2.13,1.0,0.0,2.4,22.4,1.4,0.0,91.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,4.0,25909.0,-19.0,-0.2357142857142857
0,0,15,0,1.9,209,0.02,0.08,0.06,2.38,264,3,0,3.9,19.8,2023-03-12,90,1,0,0,0,0,27,0,12540,1,3,0,17.0,1,-219,48,267,4.4,True,0,0,1,0.0242404993623495,90,Fulham,Arsenal,0,3,18465,2022,582023,0.0,0,0,0,0.0242404993623495,0.2346359938383102,0.2346359938383102,Fulham,4,2,27,-0.3,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-411.0,-0.6952380952380952
0,0,19,0,22.6,209,0.11,0.2,0.09,1.09,293,1,0,9.0,38.6,2023-04-08,90,19,0,0,0,0,30,0,12268,1,1,0,29.0,2,-93,66,159,4.4,True,0,0,2,0.049050398170948,90,Fulham,West Ham,0,1,18494,2022,586778,0.098286397755146,0,2,0,0.049050398170948,0.1772139966487884,0.1194849982857704,Fulham,2,2,30,1.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.06,2.38,3.0,0.0,3.9,19.8,1.9,17.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.02,0.23,0.23,-0.3,12540.0,-272.0,-0.41333333333333333
0,0,13,0,10.7,209,0.01,0.03,0.02,1.31,303,1,0,4.6,27.0,2023-04-15,90,8,0,0,0,0,31,0,12367,1,3,1,8.0,1,65,183,118,4.4,False,1,0,1,0.0129000004380941,90,Everton,Fulham,1,3,18504,2022,588499,0.0179817993193864,0,1,0,0.0129000004380941,0.1350039988756179,0.1350039988756179,Fulham,2,2,31,1.0,DEF,0.0,0.11,0.2,0.09,1.09,1.0,0.0,9.0,38.6,22.6,29.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.05,0.1,0.0,2.0,0.0,0.05,0.18,0.12,1.0,12268.0,0.0,0.13,0.28,0.15,3.47,4.0,0.0,12.9,58.4,24.5,46.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,3.0,0.07,0.1,0.0,2.0,0.0,0.07,0.41,0.35,0.7,24808.0,99.0,0.2159468438538206
0,0,16,0,0.6,209,0.02,0.06,0.04,0.89,316,1,0,3.3,30.2,2023-04-22,90,11,0,0,0,0,32,0,12687,1,1,2,2.0,2,226,384,158,4.4,True,0,0,1,0.0149889476597309,90,Fulham,Leeds,2,1,18517,2022,589829,0.0,0,0,0,0.0149889476597309,0.0317121185362339,0.0317121185362339,Fulham,2,2,32,1.2,DEF,0.0,0.12,0.23,0.11,2.4,2.0,0.0,13.6,65.6,33.3,37.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,3.0,0.0,3.0,0.06,0.12,0.0,3.0,0.0,0.06,0.31,0.25,2.0,24635.0,0.0,0.14,0.31,0.17,4.78,5.0,0.0,17.5,85.4,35.2,54.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,4.0,0.0,4.0,0.09,0.12,0.0,3.0,0.0,0.09,0.55,0.49,1.7,37175.0,320.0,0.41697416974169743
0,0,16,0,4.6,209,0.06,0.06,0.0,0.97,321,1,0,3.9,32.8,2023-04-25,90,2,0,0,0,0,33,0,12619,1,0,1,2.0,2,-29,195,224,4.4,False,0,0,0,0.0,90,Aston Villa,Fulham,1,0,18528,2022,591458,0.0,0,0,0,0.0,0.079864002764225,0.079864002764225,Fulham,2,2,33,1.4,DEF,0.0,0.14,0.29,0.15,3.29,3.0,0.0,16.9,95.8,33.9,39.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,3.0,5.0,0.0,4.0,0.08,0.12,0.0,3.0,0.0,0.08,0.34,0.29,3.2,37322.0,0.0,0.14,0.29,0.15,3.29,3.0,0.0,16.9,95.8,33.9,39.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,3.0,5.0,0.0,4.0,0.08,0.12,0.0,3.0,0.0,0.08,0.34,0.29,3.2,37322.0,-68.0,-0.06921241050119331
0,0,15,0,0.6,209,0.0,0.0,0.0,2.59,336,2,0,2.1,20.8,2023-04-30,90,13,0,0,0,0,34,0,12620,1,2,1,0.0,1,-71,207,278,4.4,True,0,0,0,0.0,90,Fulham,Manchester City,1,2,18537,2022,593069,0.0,0,0,0,0.0,0.0,0.0,Fulham,5,2,34,1.9,DEF,0.0,0.09,0.15,0.06,3.17,3.0,0.0,11.8,90.0,15.9,12.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,5.0,0.0,2.0,0.03,0.02,0.0,1.0,0.0,0.03,0.25,0.25,3.6,37673.0,0.0,0.2,0.35,0.15,4.26,4.0,0.0,20.8,128.6,38.5,41.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,7.0,0.0,4.0,0.08,0.12,0.0,3.0,0.0,0.08,0.42,0.37,4.6,49941.0,1.0,-0.1463917525773196
0,0,16,0,14.0,209,0.13,0.13,0.0,1.73,276,1,0,3.6,22.0,2023-05-03,90,12,0,0,0,0,34,0,12620,1,0,1,0.0,2,-71,207,278,4.4,False,0,0,0,0.0,90,Liverpool,Fulham,1,0,18477,2022,593953,0.0583497621119022,0,1,0,0.0,0.0932126864790916,0.0348629280924797,Fulham,2,4,34,1.9,DEF,0.0,0.09,0.15,0.06,3.17,3.0,0.0,11.8,90.0,15.9,12.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,5.0,0.0,2.0,0.03,0.02,0.0,1.0,0.0,0.03,0.25,0.25,3.6,37673.0,0.0,0.2,0.35,0.15,4.26,4.0,0.0,20.8,128.6,38.5,41.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,7.0,0.0,4.0,0.08,0.12,0.0,3.0,0.0,0.08,0.42,0.37,4.6,49941.0,0.0,-0.1463917525773196
0,0,11,0,10.8,209,0.01,0.25,0.24,2.84,343,3,0,3.7,13.0,2023-05-08,90,10,0,0,0,0,35,0,12849,1,3,5,13.0,1,218,428,210,4.4,True,0,0,3,0.1759121865034103,90,Fulham,Leicester,5,3,18544,2022,595657,0.0223742593079805,0,1,0,0.1759121865034103,0.0394413359463214,0.0394413359463214,Fulham,3,2,35,1.5,DEF,0.0,0.21,0.25,0.04,3.59,3.0,0.0,10.8,85.0,19.2,4.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,6.0,0.0,1.0,0.01,0.06,0.0,1.0,0.0,0.01,0.2,0.15,4.5,37926.0,0.0,0.33,0.48,0.15,5.99,5.0,0.0,24.4,150.6,52.5,41.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,9.0,0.0,4.0,0.08,0.17,0.0,4.0,0.0,0.08,0.52,0.4,6.5,62561.0,229.0,0.34169278996865204
0,0,23,1,1.3,209,0.01,0.03,0.02,0.25,360,0,0,1.4,11.4,2023-05-13,90,17,0,0,0,0,36,0,12859,1,2,0,1.0,6,-8,211,219,4.4,False,0,0,1,0.0125109627842903,90,Southampton,Fulham,0,2,18561,2022,596472,0.0,0,0,0,0.0125109627842903,0.0125109627842903,0.0125109627842903,Fulham,2,2,36,0.0,DEF,0.0,0.2,0.44,0.24,5.54,5.0,0.0,11.2,67.8,29.4,15.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,5.0,0.0,3.0,0.18,0.08,0.0,2.0,0.0,0.18,0.21,0.15,4.8,38088.0,0.0,0.23,0.53,0.3,7.74,7.0,0.0,19.1,125.0,40.7,25.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,10.0,8.0,0.0,5.0,0.2,0.1,0.0,3.0,0.0,0.2,0.38,0.32,7.0,63142.0,10.0,-0.018604651162790697
0,0,8,0,0.5,209,0.01,0.1,0.09,1.62,363,2,0,3.7,26.4,2023-05-20,90,7,0,0,0,0,37,0,13617,1,2,2,10.0,0,712,894,182,4.4,True,1,0,3,0.1085400432348251,90,Fulham,Crystal Palace,2,2,18564,2022,598117,0.0,0,0,0,0.1085400432348251,0.0141094475984573,0.0,Fulham,2,2,37,2.0,DEF,1.0,0.15,0.41,0.26,4.82,4.0,0.0,8.7,46.4,26.1,14.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,9.0,0.0,4.0,0.19,0.08,0.0,2.0,0.0,0.19,0.15,0.09,3.4,38328.0,1.0,0.23,0.53,0.3,6.68,6.0,0.0,15.9,109.4,31.3,18.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,13.0,0.0,5.0,0.2,0.08,0.0,2.0,0.0,0.2,0.26,0.2,6.0,63634.0,758.0,0.6617100371747212
0,0,14,0,0.0,209,0.01,0.01,0.0,2.71,379,2,0,0.0,0.0,2023-05-28,90,14,0,0,0,0,38,0,12959,1,1,2,0.0,1,-621,91,712,4.4,False,0,0,0,0.0,90,Manchester United,Fulham,2,1,18580,2022,601078,0.0,0,0,0,0.0,0.1586522907018661,0.1586522907018661,Fulham,2,4,38,1.8,DEF,1.0,0.03,0.38,0.35,4.71,5.0,0.0,8.8,50.8,12.6,24.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,7.0,7.0,0.0,7.0,0.3,0.02,0.0,1.0,0.0,0.3,0.07,0.05,3.5,39325.0,1.0,0.22,0.57,0.35,7.41,7.0,0.0,16.3,105.6,31.2,26.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,9.0,11.0,0.0,7.0,0.3,0.08,0.0,2.0,0.0,0.3,0.24,0.17,6.8,64564.0,-658.0,-0.7733499377334994
