assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0.0,0.0,-6.0,0.0,0.0,288.0,0.0,0.0,0.0,0.99,34.0,1.0,0.0,0.2,2.0,2024-09-14,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,0.0,0.0,0.0,0.0,4.0,0.0,27000.0,0.0,2.0,2.0,0.0,0.0,3756.0,5999.0,2243.0,4.0,False,1.0,288.0,0.0,0.0,0.0,4.0,Crystal Palace,Leicester,2.0,2.0,26636.0,2024.0,673730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6851.0,Leicester,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4557146323707838
0.0,0.0,-1.0,0.0,0.8,288.0,0.01,0.01,0.0,2.4,121.0,4.0,0.0,2.6,25.4,2024-11-30,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.0,0.0,0.0,0.0,0.0,13.0,0.0,32174.0,1.0,1.0,4.0,0.0,0.0,-433.0,648.0,1081.0,4.0,False,0.0,288.0,0.0,0.0,0.0,90.0,Brentford,Leicester,4.0,1.0,26722.0,2024.0,690069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6851.0,Leicester,2.0,3.0,13.0,,,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.2,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5174.0,-0.25043377674956624
0.0,0.0,17.0,0.0,0.3,288.0,0.0,0.0,0.0,3.1,137.0,1.0,0.0,2.8,28.0,2024-12-03,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19.0,0.0,0.0,0.0,0.0,14.0,0.0,32281.0,1.0,1.0,3.0,0.0,2.0,-105.0,986.0,1091.0,4.0,True,0.0,288.0,0.0,0.0,0.0,90.0,Leicester,West Ham,3.0,1.0,26738.0,2024.0,691356.0,0.0,0.0,0.0,0.0,0.0,0.6377875208854675,0.6377875208854675,6851.0,Leicester,2.0,2.0,14.0,,,0.0,0.01,0.01,0.0,2.4,4.0,0.0,2.6,25.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.69,2.5,0.0,1.4,13.7,0.4,0.0,48.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,-0.05055368319691863
0.0,0.0,6.0,0.0,1.3,288.0,0.01,0.01,0.0,1.54,147.0,2.0,0.0,1.2,10.8,2024-12-08,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.0,0.0,0.0,0.0,0.0,15.0,0.0,37937.0,1.0,2.0,2.0,0.0,1.0,4856.0,5833.0,977.0,4.0,True,0.0,288.0,0.0,0.0,0.0,90.0,Leicester,Brighton,2.0,2.0,26751.0,2024.0,692775.0,0.0,0.0,0.0,0.0,0.0,0.1061358824372291,0.1061358824372291,6851.0,Leicester,3.0,2.0,15.0,,,0.0,0.0,0.0,0.0,3.1,1.0,0.0,2.8,28.0,0.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,,0.0,0.0,0.0,0.0,2.75,2.5,0.0,2.7,26.7,0.55,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,,0.0,0.0,0.0,0.0,2.16,2.0,0.0,1.87,18.47,0.37,0.0,62.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.33,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5656.0,0.7130690161527166
0.0,0.0,-7.0,0.0,4.7,288.0,0.0,0.0,0.0,3.79,157.0,4.0,0.0,2.0,15.4,2024-12-14,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,15.0,0.0,0.0,0.0,0.0,16.0,0.0,41755.0,1.0,0.0,4.0,0.0,0.0,3863.0,5368.0,1505.0,4.0,False,0.0,288.0,0.0,0.0,0.0,90.0,Newcastle United,Leicester,4.0,0.0,26760.0,2024.0,693648.0,0.0,0.0,0.0,0.0,0.0,0.1137773841619491,0.1137773841619491,6851.0,Leicester,2.0,4.0,16.0,,,0.0,0.01,0.01,0.0,1.54,2.0,0.0,1.2,10.8,1.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,,0.0,0.0,0.0,0.0,2.32,1.5,0.0,2.0,19.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,,0.0,0.01,0.01,0.0,2.35,2.33,0.0,2.2,21.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,0.0,0.0,0.0,0.0,2.01,2.0,0.0,1.7,16.55,0.6,0.0,69.25,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.5,2.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3818.0,0.5620544158300597
0.0,0.0,5.0,0.0,14.4,288.0,0.14,0.14,0.0,1.06,167.0,3.0,0.0,3.5,18.8,2024-12-22,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20.0,0.0,0.0,0.0,0.0,17.0,0.0,42765.0,1.0,3.0,0.0,2.0,1.0,843.0,2995.0,2152.0,4.0,True,0.0,288.0,0.0,0.0,0.0,90.0,Leicester,Wolverhampton Wanderers,0.0,3.0,26770.0,2024.0,695663.0,0.0701530873775482,0.0,1.0,0.0,0.0,0.4747730493545532,0.404619961977005,6851.0,Leicester,2.0,2.0,17.0,,,0.0,0.0,0.0,0.0,3.79,4.0,0.0,2.0,15.4,4.7,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,,0.0,0.0,0.0,0.0,2.66,3.0,0.0,1.6,13.1,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,,0.0,0.0,0.0,0.0,2.81,2.33,0.0,2.0,18.07,2.1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,,0.0,0.0,0.0,0.0,2.71,2.75,0.0,2.15,19.9,1.78,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,,0.0,0.0,0.0,0.0,2.36,2.4,0.0,1.76,16.32,1.42,0.0,73.4,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.2,3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,,1010.0,0.16378472896833107
0.0,0.0,4.0,0.0,0.3,288.0,0.0,0.0,0.0,1.91,175.0,3.0,0.0,2.6,25.2,2024-12-26,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,0.0,0.0,0.0,0.0,18.0,0.0,42007.0,1.0,1.0,3.0,0.0,1.0,-836.0,1950.0,2786.0,4.0,False,0.0,288.0,0.0,0.0,0.0,90.0,Liverpool,Leicester,3.0,1.0,26776.0,2024.0,696354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6851.0,Leicester,2.0,5.0,18.0,,,0.0,0.14,0.14,0.0,1.06,3.0,0.0,3.5,18.8,14.4,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.47,0.4,,0.0,0.07,0.07,0.0,2.43,3.5,0.0,2.75,17.1,9.55,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.0,0.5,0.0,0.0,0.0,0.04,0.0,0.0,0.5,0.0,0.0,0.29,0.26,,0.0,0.05,0.05,0.0,2.13,3.0,0.0,2.23,15.0,6.8,0.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.0,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.23,0.21,,0.0,0.04,0.04,0.0,2.37,2.5,0.0,2.38,18.25,5.18,0.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.25,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.33,0.32,,0.0,0.03,0.03,0.0,2.38,2.8,0.0,2.42,19.68,4.3,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,2.6,0.8,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.27,0.25,,-758.0,-0.17652027027027026
0.0,0.0,6.0,0.0,1.3,288.0,0.29,0.29,0.0,1.27,187.0,2.0,0.0,1.5,9.2,2024-12-29,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,0.0,19.0,0.0,43071.0,1.0,2.0,0.0,4.0,1.0,814.0,2980.0,2166.0,4.0,True,0.0,288.0,0.0,0.0,0.0,86.0,Leicester,Manchester City,0.0,2.0,26788.0,2024.0,696585.0,0.0,0.0,0.0,0.0,0.0,0.599262535572052,0.599262535572052,6851.0,Leicester,4.0,2.0,19.0,,,0.0,0.0,0.0,0.0,1.91,3.0,0.0,2.6,25.2,0.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.07,0.07,0.0,1.49,3.0,0.0,3.05,22.0,7.35,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,1.0,0.0,0.0,0.0,0.04,0.0,0.0,0.5,0.0,0.0,0.24,0.2,,0.0,0.05,0.05,0.0,2.25,3.33,0.0,2.7,19.8,6.47,0.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.33,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.2,0.17,,0.0,0.04,0.04,0.0,2.08,3.0,0.0,2.32,17.55,5.18,0.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.25,0.75,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.17,0.16,,0.0,0.03,0.03,0.0,2.28,2.6,0.0,2.42,19.64,4.2,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,2.4,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.27,0.25,,1064.0,0.15818111154294598
0.0,0.0,3.0,0.0,0.7,288.0,0.0,0.0,0.0,0.71,191.0,2.0,0.0,1.1,10.6,2025-01-04,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,0.0,0.0,0.0,0.0,20.0,0.0,44091.0,1.0,1.0,2.0,0.0,1.0,718.0,4198.0,3480.0,4.0,False,0.0,288.0,0.0,0.0,0.0,85.0,Aston Villa,Leicester,2.0,1.0,26793.0,2024.0,697263.0,0.0,0.0,0.0,0.0,0.0,0.0587538480758667,0.0587538480758667,6851.0,Leicester,2.0,3.0,20.0,,,0.0,0.29,0.29,0.0,1.27,2.0,0.0,1.5,9.2,1.3,4.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,,0.0,0.14,0.14,0.0,1.59,2.5,0.0,2.05,17.2,0.8,2.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,,0.0,0.14,0.14,0.0,1.41,2.67,0.0,2.53,17.73,5.33,2.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.36,0.33,,0.0,0.11,0.11,0.0,2.01,3.0,0.0,2.4,17.15,5.18,1.5,88.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.75,0.75,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.3,0.28,,0.0,0.09,0.09,0.0,1.91,2.8,0.0,2.16,15.88,4.4,1.2,88.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.8,0.8,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.26,0.24,,1020.0,0.09351393592081271
0.0,0.0,5.0,0.0,0.0,288.0,0.0,0.0,0.0,0.09,229.0,0.0,0.0,0.3,2.6,2025-01-26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,18.0,0.0,0.0,0.0,0.0,23.0,0.0,41469.0,0.0,2.0,1.0,0.0,1.0,-1960.0,628.0,2588.0,4.0,False,0.0,288.0,0.0,0.0,0.0,2.0,Tottenham,Leicester,1.0,2.0,26830.0,2024.0,702046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6851.0,Leicester,2.0,3.0,23.0,,,0.0,0.0,0.0,0.0,0.71,2.0,0.0,1.1,10.6,0.7,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,,0.0,0.14,0.14,0.0,0.99,2.0,0.0,1.3,9.9,1.0,2.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,,0.0,0.1,0.1,0.0,1.3,2.33,0.0,1.73,15.0,0.77,1.33,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,,0.0,0.11,0.11,0.0,1.24,2.5,0.0,2.17,15.95,4.18,1.5,86.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.75,1.25,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.28,0.27,,0.0,0.09,0.09,0.0,1.75,2.8,0.0,2.14,15.84,4.28,1.2,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.8,0.8,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.25,0.24,,-2622.0,-0.6094527363184079
