assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,3,0,0.3,585,0.0,0.0,0.0,0.0,8,0,0,0.1,0.2,2024-08-18,6,0,0,0,0,0,0,0,False,4,0,0,0,0,1,0,29330,0,1,2,0.0,1,0,0,0,6.0,False,0,0,0,0.0,3,Brentford,Crystal Palace,2,1,26609,2024,666824,0.0,0,0,0,0.0,0.5140550136566162,0.5140550136566162,Crystal Palace,3,3,1,2.2,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,6,0,15.0,585,0.17,0.27,0.1,0.36,14,1,0,2.2,1.4,2024-08-24,19,0,0,0,0,0,0,0,False,19,0,0,0,0,2,0,29102,0,2,0,6.0,1,-4332,1726,6058,6.0,True,0,0,1,0.0781054720282554,19,Crystal Palace,West Ham,0,2,26613,2024,667928,0.3185902833938598,0,1,0,0.0781054720282554,0.3966957628726959,0.3185902833938598,Crystal Palace,2,3,2,1.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-228.0,-0.5565262076053443
0,0,5,0,32.3,585,0.45,0.45,0.0,0.41,23,0,0,4.3,7.0,2024-09-01,21,0,0,0,0,0,0,0,False,6,0,0,0,0,3,0,22812,0,1,1,4.0,1,-7383,1244,8627,5.9,False,0,0,0,0.0,18,Chelsea,Crystal Palace,1,1,26630,2024,672454,0.2188027650117874,0,3,0,0.0,0.1150226667523384,0.0,Crystal Palace,3,4,3,1.0,MID,0.0,0.17,0.27,0.1,0.36,1.0,0.0,2.2,1.4,15.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.08,0.32,0.0,0.0,1.0,0.0,0.08,0.4,0.32,1.0,0.0,0.08,0.14,0.05,0.18,0.5,0.0,1.15,0.8,7.65,3.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.5,0.04,0.16,0.0,0.0,0.5,0.0,0.04,0.46,0.42,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6290.0,-0.7479485361158951
1,0,12,0,0.5,585,0.0,0.08,0.08,0.01,34,0,0,1.5,0.2,2024-09-14,9,0,0,0,0,0,0,0,False,11,0,0,0,0,4,0,21168,0,2,2,14.0,4,-2874,1884,4758,5.9,True,0,0,1,0.0350209139287471,6,Crystal Palace,Leicester,2,2,26636,2024,673716,0.0,0,0,0,0.0350209139287471,0.0350209139287471,0.0,Crystal Palace,1,3,4,2.3,MID,0.0,0.45,0.45,0.0,0.41,0.0,0.0,4.3,7.0,32.3,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.22,0.0,0.0,3.0,0.0,0.0,0.12,0.0,1.0,0.0,0.31,0.36,0.05,0.38,0.5,0.0,3.25,4.2,23.65,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1.0,0.0,0.5,0.04,0.27,0.0,0.0,2.0,0.0,0.04,0.26,0.16,1.0,0.0,0.21,0.24,0.03,0.26,0.33,0.0,2.2,2.87,15.87,3.33,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.0,1.0,0.0,0.33,0.03,0.18,0.0,0.0,1.33,0.0,0.03,0.34,0.28,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1644.0,-0.4327009936766034
0,0,8,0,11.8,585,0.12,0.43,0.31,0.28,43,0,0,6.8,9.4,2024-09-21,45,0,0,0,0,0,0,0,False,14,0,0,0,0,5,0,21206,0,0,0,47.0,1,-633,1432,2065,5.9,True,0,0,2,0.8406367301940918,44,Crystal Palace,Manchester United,0,0,26649,2024,675940,0.3995842039585113,0,1,0,0.8406367301940918,1.2402209043502808,0.0,Crystal Palace,2,3,5,1.8,MID,0.0,0.0,0.08,0.08,0.01,0.0,0.0,1.5,0.2,0.5,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.04,0.04,0.0,2.3,0.0,0.22,0.26,0.04,0.21,0.0,0.0,2.9,3.6,16.4,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,2.5,0.0,0.5,0.02,0.11,0.5,0.0,1.5,0.0,0.02,0.08,0.0,1.65,0.0,0.21,0.27,0.06,0.26,0.33,0.0,2.67,2.87,15.93,8.0,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.0,2.0,0.0,0.67,0.04,0.18,0.33,0.0,1.33,0.0,0.04,0.18,0.11,1.43,0.0,0.16,0.2,0.04,0.19,0.25,0.0,2.03,2.2,12.02,6.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.25,1.75,0.0,0.5,0.03,0.13,0.25,0.0,1.0,0.0,0.03,0.27,0.21,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,-0.18101229625393195
0,0,1,0,0.9,585,0.0,0.0,0.0,0.14,55,0,0,0.1,0.4,2024-09-28,28,0,0,0,0,0,0,0,False,8,0,0,0,0,6,0,20896,0,1,2,0.0,1,-792,1817,2609,5.8,False,0,0,0,0.0,27,Everton,Crystal Palace,2,1,26654,2024,677831,0.0,0,0,0,0.0,0.0129672121256589,0.0129672121256589,Crystal Palace,3,3,6,1.8,MID,0.0,0.12,0.43,0.31,0.28,0.0,0.0,6.8,9.4,11.8,47.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.84,0.4,0.0,0.0,1.0,0.0,0.84,1.24,0.0,1.8,0.0,0.06,0.26,0.2,0.15,0.0,0.0,4.15,4.8,6.15,30.5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5,0.0,1.5,0.44,0.2,0.5,0.0,0.5,0.0,0.44,0.64,0.0,2.05,0.0,0.19,0.32,0.13,0.23,0.0,0.0,4.2,5.53,14.87,21.67,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.29,0.21,0.33,0.0,1.33,0.0,0.29,0.46,0.0,1.7,0.0,0.18,0.31,0.12,0.26,0.25,0.0,3.7,4.5,14.9,17.75,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,1.75,0.0,1.0,0.24,0.23,0.25,0.0,1.25,0.0,0.24,0.45,0.08,1.52,0.0,0.15,0.25,0.1,0.21,0.2,0.0,2.98,3.64,11.98,14.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,1.6,0.0,0.8,0.19,0.19,0.2,0.0,1.0,0.0,0.19,0.46,0.17,1.66,-310.0,-0.1789426118391324
0,0,8,0,0.4,585,0.0,0.08,0.08,1.4,66,1,0,2.3,4.0,2024-10-05,90,0,0,0,0,0,0,0,False,12,0,0,0,0,7,0,19316,1,1,0,19.0,1,-1933,776,2709,5.8,True,1,0,1,0.0981369018554687,90,Crystal Palace,Liverpool,0,1,26662,2024,679179,0.0,0,0,0,0.0981369018554687,0.0981369018554687,0.0,Crystal Palace,5,3,7,1.3,MID,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.1,0.4,0.9,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1.8,0.0,0.06,0.22,0.16,0.21,0.0,0.0,3.45,4.9,6.35,23.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.42,0.2,0.0,0.0,0.5,0.0,0.42,0.63,0.01,1.8,0.0,0.04,0.17,0.13,0.14,0.0,0.0,2.8,3.33,4.4,20.33,27.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.0,0.0,1.0,0.29,0.13,0.33,0.0,0.33,0.0,0.29,0.43,0.0,1.97,0.0,0.14,0.24,0.1,0.21,0.0,0.0,3.18,4.25,11.38,16.25,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,1.75,0.0,0.75,0.22,0.15,0.25,0.0,1.0,0.0,0.22,0.35,0.0,1.72,0.0,0.15,0.25,0.1,0.24,0.2,0.0,2.98,3.68,12.1,14.2,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,1.6,0.0,0.8,0.19,0.19,0.2,0.0,1.0,0.0,0.19,0.36,0.07,1.58,-1580.0,-0.5546628407460545
0,0,3,0,0.3,585,0.0,0.0,0.0,0.06,77,0,0,0.3,0.2,2024-10-21,16,0,0,0,0,0,0,0,False,16,0,0,0,0,8,0,19577,0,0,1,2.0,1,-323,1219,1542,5.8,False,0,0,0,0.0,14,Nottingham Forest,Crystal Palace,1,0,26677,2024,682463,0.0,0,0,0,0.0,0.0238666459918022,0.0238666459918022,Crystal Palace,3,4,8,1.0,MID,0.0,0.0,0.08,0.08,1.4,1.0,0.0,2.3,4.0,0.4,19.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.3,0.0,0.0,0.04,0.04,0.77,0.5,0.0,1.2,2.2,0.65,9.5,59.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.01,1.55,0.0,0.04,0.17,0.13,0.61,0.33,0.0,3.07,4.6,4.37,22.0,54.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.67,0.67,1.0,0.0,1.0,0.31,0.13,0.0,0.0,0.33,0.0,0.31,0.45,0.0,1.63,0.0,0.03,0.15,0.12,0.46,0.25,0.0,2.68,3.5,3.4,20.0,43.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,1.0,1.75,0.0,1.0,0.24,0.1,0.25,0.0,0.25,0.0,0.24,0.35,0.0,1.8,0.0,0.11,0.21,0.09,0.45,0.2,0.0,3.0,4.2,9.18,16.8,38.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,1.0,1.6,0.0,0.8,0.19,0.12,0.2,0.0,0.8,0.0,0.19,0.3,0.0,1.64,261.0,-0.1169865990583122
0,0,14,1,20.5,585,0.09,0.21,0.12,0.68,86,0,0,7.4,13.4,2024-10-27,66,0,0,0,0,0,0,0,False,18,0,0,0,0,9,0,19123,1,0,1,40.0,3,-629,525,1154,5.8,True,0,0,2,0.102112591266632,73,Crystal Palace,Tottenham,1,0,26689,2024,683486,0.0176585484296083,0,1,0,0.102112591266632,0.0584016814827919,0.0,Crystal Palace,2,3,9,1.2,MID,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.3,0.2,0.3,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.0,0.0,0.04,0.04,0.73,0.5,0.0,1.3,2.1,0.35,10.5,53.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.01,1.15,0.0,0.0,0.03,0.03,0.53,0.33,0.0,0.9,1.53,0.53,7.0,44.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.67,1.0,1.0,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,1.37,0.0,0.03,0.13,0.1,0.47,0.25,0.0,2.38,3.5,3.35,17.0,44.75,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.75,1.0,0.0,0.75,0.23,0.1,0.0,0.0,0.25,0.0,0.23,0.34,0.01,1.48,0.0,0.02,0.12,0.09,0.38,0.2,0.0,2.2,2.84,2.78,16.4,37.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.8,1.0,1.6,0.0,0.8,0.19,0.08,0.2,0.0,0.2,0.0,0.19,0.28,0.01,1.64,-454.0,-0.37462775461584275
0,0,9,0,29.4,585,0.04,0.5,0.46,1.45,100,2,0,11.0,14.8,2024-11-02,89,0,0,0,0,0,0,0,False,20,0,0,0,0,10,0,20933,1,2,2,66.0,2,1314,2530,1216,5.7,False,0,0,4,0.3749499022960663,90,Wolverhampton Wanderers,Crystal Palace,2,2,26701,2024,685256,0.1041339039802551,0,2,0,0.3749499022960663,0.6076613068580627,0.1285775154829025,Crystal Palace,3,3,10,2.0,MID,1.0,0.09,0.21,0.12,0.68,0.0,0.0,7.4,13.4,20.5,40.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.1,0.02,0.0,0.0,1.0,0.0,0.1,0.06,0.0,1.2,0.5,0.05,0.1,0.06,0.37,0.0,0.0,3.85,6.8,10.4,21.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,0.0,1.0,0.05,0.01,0.0,0.0,0.5,0.0,0.05,0.04,0.01,1.1,0.33,0.03,0.1,0.07,0.71,0.33,0.0,3.33,5.87,7.07,20.33,57.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.33,0.67,1.67,0.0,1.0,0.07,0.01,0.0,0.0,0.33,0.0,0.07,0.06,0.01,1.17,0.25,0.02,0.07,0.05,0.57,0.25,0.0,2.53,4.5,5.52,15.25,50.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.5,1.0,1.5,0.0,0.75,0.05,0.0,0.0,0.0,0.25,0.0,0.05,0.05,0.01,1.33,0.2,0.04,0.14,0.1,0.51,0.2,0.0,3.38,5.48,6.78,21.6,49.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.8,1.4,0.0,1.0,0.21,0.08,0.0,0.0,0.4,0.0,0.21,0.29,0.01,1.42,1810.0,0.35077415910304327
